"ticketId","createdAt","description","environment","status","stepsToReproduce"
"f80d41a1-5625-4e8f-9170-11fbcff37a86","2026-09-13T06:22:43.499543+00:00","I see a 404 error page","""browser chrome, OS is windows 10""","OPEN","""Opened my laptop, I had the url so I typed it in the browser"""
"f6bc4a96-192c-462d-a440-4a501b8957ec","2026-09-13T05:52:35.339666+00:00","User encounters a 404 error when trying to access BookNest.com","Chrome on Windows 11 on a laptop","OPEN","""Opened laptop, accessed BookNest.com from bookmarks, saw a blank white page with '404 error' written"""
"d8478d2c-ea07-431f-9b75-7ebf61a67c01","2026-09-06T07:07:58.480415+00:00","Checkout button isn't working when trying to place an order.","Not provided","OPEN","Not provided"
"c7a2699b-57b8-490e-878c-73bd98f586b9","2026-09-06T19:02:51.364514+00:00","The checkout button isn't working when trying to place an order.","Chrome on Windows 11 on a laptop.","OPEN","""Add a book to the cart and click the checkout button, with nothing happening."""
"af852667-752a-4fa9-a386-47100ee52ce1","2026-09-06T18:50:12.753146+00:00","The checkout button isn't working when trying to place an order.","Chrome on Windows 11 on a laptop.","OPEN","""Add a book to the cart and click the checkout button, with nothing happening."""
"9d569535-541c-4e2d-9f42-60f46b59c54b","2026-09-06T07:09:07.515936+00:00","Checkout button isn't working when trying to place an order.","""Chrome on Windows 11, using a laptop.""","OPEN","""Clicked the checkout button after adding a book to my cart, but nothing happened."""
"9d2e2945-08c4-4389-9cff-4006bf964a78","2026-09-06T18:38:56.404016+00:00","The checkout button isn't working when trying to place an order.","Chrome on Windows 11 on a laptop.","OPEN","""Add a book to the cart and click the checkout button, with nothing happening."""
"84373151-e103-4aa2-bbd0-e5e10edf229d","2026-09-13T06:39:13.537177+00:00","The checkout button doesn't work.","Chrome on Windows 10 on a laptop.","OPEN","I click checkout but nothing happens."
"7f37d886-9a75-40af-be22-2de1fe437c47","2026-09-06T19:26:22.228109+00:00","I cannot click the home button on the landing page","Chrome on Windows 11 using a laptop.","OPEN","Navigated to the landing page and attempted to click the home button."
"6986be84-3b16-4bd0-b869-9738f968e149","2026-09-13T07:41:17.726753+00:00","The checkout button doesn't work. I click checkout but nothing happens.","Chrome on Windows 10 on a laptop.","OPEN","Click the checkout button."
"685349f3-2429-47e8-ad3f-4f50ae9b9577","2026-09-13T06:27:29.721270+00:00","The checkout button doesn't work","Chrome on Windows 10","OPEN","I click checkout but nothing happens"
"47143bf3-8649-4a16-ba94-ac010210c1ac","2026-09-06T18:45:48.748977+00:00","The checkout button isn't working when trying to place an order.","Chrome on Windows 11 on a laptop.","OPEN","""Add a book to the cart and click the checkout button, with nothing happening."""
"4671812b-1bda-4fdd-9487-dccdaed9848e","2026-09-13T05:44:35.015855+00:00","Encountering a 404 error when trying to access the BookNest website.","Chrome on Windows 11 on a laptop.","OPEN","Typed the URL directly into the browser."
"20709d53-228d-4b04-bf34-d9a192e103be","2026-09-13T08:15:27.394943+00:00","The tracking page shows an error after clicking the tracking link.","Chrome on Windows 10 on a laptop.","OPEN","Open the tracking link from the shipping email."
"101443f3-6f46-4efd-9810-27cf9b3ed2cc","2026-09-06T19:08:01.032116+00:00","The navigation bar's home page isn't working","""Please provide your browser, operating system, and device.""","OPEN","Please provide the steps you took to encounter this issue."
"07067f75-528a-44ab-887c-660ffd7cd986","2026-09-13T06:10:57.674435+00:00","I see a 404 error page","Chrome on Windows 10 on my laptop","OPEN","""I opened my laptop, then I had the url in bookmarks, BookNest.com and I opened it but I see a blank white page with 404 error written"""
"06052699-7050-4d68-8ca6-83f544fd6e26","2026-09-06T18:31:46.364454+00:00","The checkout page crashes when I click the Pay button","Chrome 120 on macOS Sonoma","OPEN","1. Add an item to the cart. 2. Go to checkout. 3. Click Pay."
